ticket_id,created_at,category,priority,channel,agent,first_response_mins,resolution_hours,csat,reopened,summary
TKT-6094,2024-06-28 01:00,login issue,low,portal,Meera,0.31,4.88,,No,Wants dark mode in the mobile app
TKT-5739,2025-05-04 14:00,Login Issue,medium,chat,Vikram,0.33,4.37,4.0,No,Wants dark mode in the mobile app
TKT-6389,2025-05-10 10:00,shipping,medium,portal,Ananya,0.28,3.92,4.0,No,Request to merge duplicate accounts
TKT-5042,2025-01-16 18:00,feature request,low,email,Sara,4.08,11.46,4.0,No,Refund not received after 14 days
TKT-6273,2025-01-03 00:00,shipping,low,portal,Rahul,3.27,8.65,3.0,Yes,Request to merge duplicate accounts
TKT-6487,2024-01-01 16:00,Bug,high,email,Rahul,0.32,1.84,4.0,No,Customer cannot reset password
TKT-5430,2024-02-15 23:00,Billing,low,email,Rahul,0.77,3.84,3.0,No,Invoice shows wrong GST number
TKT-5599,2024-12-16 03:00,Login Issue,low,chat,Imran,2.39,8.22,4.0,No,Invoice shows wrong GST number
TKT-6006,2025-04-08 08:00,billing,medium,portal,Sara,0.34,6.45,5.0,Yes,Refund not received after 14 days
TKT-6231,2025-02-03 21:00,feature request,urgent,portal,Vikram,0.71,1.97,,No,Invoice shows wrong GST number
TKT-6001,2025-02-05 12:00,bug,high,phone,Ananya,0.69,2.1,4.0,No,Delivery delayed by courier
TKT-6228,2024-03-24 22:00,feature request,medium,email,Vikram,1.02,5.47,5.0,No,Invoice shows wrong GST number
TKT-6153,2025-05-10 16:00,Shipping,medium,email,Imran,1.63,4.12,3.0,No,Wants dark mode in the mobile app
TKT-6304,2024-11-28 18:00,Feature Request,low,email,Meera,3.55,10.26,,Yes,Refund not received after 14 days
TKT-5514,2025-06-06 17:00,billing,medium,email,Rahul,0.86,7.17,3.0,No,Customer cannot reset password
TKT-5984,2024-11-15 23:00,BILLING,low,email,Meera,0.4,5.82,4.0,No,Refund not received after 14 days
TKT-5672,2024-12-12 17:00,billing,high,email,Meera,1.61,5.9,4.0,No,Refund not received after 14 days
TKT-6073,2024-10-13 04:00,Shipping,medium,chat,Meera,1.6,5.33,4.0,Yes,Request to merge duplicate accounts
TKT-5340,2024-12-11 23:00,login issue,low,email,Vikram,2.77,17.76,3.0,No,Customer cannot reset password
TKT-6340,2024-10-18 02:00,shipping,low,email,Vikram,0.69,6.78,4.0,No,Request to merge duplicate accounts
TKT-5378,2024-07-26 02:00,Billing,low,portal,Ananya,4.13,21.08,4.0,No,Request to merge duplicate accounts
TKT-5616,2024-05-16 03:00,feature request,urgent,email,Meera,0.37,2.51,4.0,No,Refund not received after 14 days
TKT-5604,2025-03-26 04:00,Billing,low,phone,Ananya,0.74,3.56,3.0,No,Unable to apply coupon code
TKT-5694,2024-02-19 02:00,Login Issue,medium,chat,Ananya,2.54,11.12,5.0,No,Delivery delayed by courier
TKT-5456,2024-03-21 18:00,Bug,medium,email,Ananya,0.38,4.38,4.0,No,App crashes on checkout
TKT-5262,2024-06-12 11:00,login issue,medium,email,Vikram,1.94,8.09,5.0,No,Wants dark mode in the mobile app
TKT-5363,2025-05-01 22:00,Billing,low,portal,Rahul,3.06,13.2,3.0,No,Refund not received after 14 days
TKT-5289,2024-09-15 01:00,Login Issue,medium,chat,Ananya,1.62,863.17,3.0,No,Invoice shows wrong GST number
TKT-5508,2024-05-26 10:00,billing,urgent,phone,Rahul,0.37,1.54,5.0,No,App crashes on checkout
TKT-6365,2024-01-10 15:00,login issue,high,portal,,0.22,4.48,4.0,No,Customer cannot reset password
TKT-5558,2025-03-07 23:00,bug,low,email,Ananya,5.07,15.09,4.0,No,Invoice shows wrong GST number
TKT-5434,2024-08-24 10:00,Billing,medium,chat,Imran,1.52,4.37,4.0,No,Customer cannot reset password
TKT-6030,2024-09-22 17:00,Login Issue,medium,email,Vikram,1.83,8.14,5.0,No,Unable to apply coupon code
TKT-5247,2024-08-14 14:00,Bug,high,email,Ananya,1.61,4.78,3.0,No,Unable to apply coupon code
TKT-6594,2025-01-17 15:00,Feature Request,low,chat,Sara,0.18,1.29,3.0,No,Request to merge duplicate accounts
TKT-6208,2024-06-04 04:00,Billing,low,email,Meera,2.28,8.53,4.0,No,Delivery delayed by courier
TKT-6435,2024-02-25 12:00,shipping,medium,email,Vikram,0.5,3.25,3.0,No,Invoice shows wrong GST number
TKT-6086,2025-03-12 21:00,Billing,medium,portal,Imran,0.6,3.81,4.0,No,Delivery delayed by courier
TKT-5164,2024-08-15 18:00,Shipping,medium,chat,,1.58,8.87,3.0,No,Request to merge duplicate accounts
TKT-5195,2024-02-17 18:00,Login Issue,high,chat,Vikram,1.01,3.34,5.0,No,Delivery delayed by courier
TKT-5646,2024-09-07 23:00,shipping,medium,portal,Imran,7.63,19.5,4.0,No,Wants dark mode in the mobile app
TKT-6339,2024-08-10 07:00,shipping,medium,email,Rahul,3.52,9.7,5.0,No,Unable to apply coupon code
TKT-6526,2024-06-22 20:00,Billing,medium,email,Rahul,4.71,16.36,4.0,No,Invoice shows wrong GST number
TKT-5333,2025-03-28 05:00,bug,low,chat,Rahul,2.81,9.76,4.0,No,Invoice shows wrong GST number
TKT-6039,2025-03-26 19:00,bug,medium,portal,Rahul,1.31,12.11,,No,App crashes on checkout
TKT-6357,2024-03-14 05:00,login issue,low,chat,Meera,0.77,3.06,4.0,No,Customer cannot reset password
TKT-5609,2025-04-12 09:00,bug,high,portal,Sara,0.66,2.84,,No,Customer cannot reset password
TKT-5841,2024-12-23 15:00,billing,medium,chat,Imran,0.45,3.05,5.0,Yes,App crashes on checkout
TKT-5026,2024-08-07 07:00,Feature Request,low,phone,Vikram,1.78,15.58,4.0,No,Refund not received after 14 days
TKT-5828,2025-04-15 13:00,Billing,medium,portal,Meera,0.8,11.9,4.0,No,Invoice shows wrong GST number
TKT-6168,2025-06-28 00:00,Login Issue,high,email,Sara,0.97,8.95,5.0,No,Request to merge duplicate accounts
TKT-5612,2025-03-03 08:00,shipping,high,phone,Rahul,1.31,3.42,5.0,No,Request to merge duplicate accounts
TKT-5897,2024-01-30 16:00,Bug,medium,chat,Meera,0.8,5.93,4.0,No,Unable to apply coupon code
TKT-5397,2024-04-17 01:00,bug,medium,phone,Sara,2.69,6.75,5.0,No,Delivery delayed by courier
TKT-5271,2024-01-13 10:00,Feature Request,medium,chat,Rahul,0.6,3.74,5.0,No,Delivery delayed by courier
TKT-5163,2024-08-09 11:00,Billing,medium,chat,Imran,0.42,4.27,4.0,No,Delivery delayed by courier
TKT-5288,2024-10-22 12:00,Login Issue,low,portal,Sara,5.48,22.05,4.0,No,Request to merge duplicate accounts
TKT-6303,2025-05-03 02:00,Shipping,medium,email,Rahul,1.17,5.32,5.0,No,Delivery delayed by courier
TKT-5500,2024-03-02 23:00,Billing,medium,email,Meera,2.03,7.79,4.0,No,Delivery delayed by courier
TKT-6447,2025-06-07 01:00,bug,high,chat,Rahul,1.36,4.37,5.0,No,App crashes on checkout
TKT-5304,2024-10-22 20:00,Billing,high,email,Meera,0.7,2.73,4.0,No,Refund not received after 14 days
TKT-5962,2025-04-02 20:00,Billing,medium,chat,Ananya,0.6,6.5,4.0,Yes,Customer cannot reset password
TKT-5814,2025-02-28 00:00,Bug,low,chat,Meera,1.53,17.96,4.0,No,Customer cannot reset password
TKT-5484,2024-09-09 08:00,shipping,medium,portal,Ananya,0.96,3.86,4.0,No,App crashes on checkout
TKT-6455,2024-02-05 17:00,feature request,low,chat,Rahul,0.53,4.43,4.0,No,Refund not received after 14 days
TKT-5039,2024-12-10 06:00,feature request,high,portal,Meera,0.94,4.94,4.0,Yes,Wants dark mode in the mobile app
TKT-5043,2024-07-12 05:00,Login Issue,medium,portal,Rahul,0.56,10.04,5.0,No,Wants dark mode in the mobile app
TKT-6341,2024-03-15 13:00,Login Issue,low,email,Meera,2.32,10.26,4.0,No,Wants dark mode in the mobile app
TKT-6021,2024-02-09 06:00,Login Issue,low,portal,Rahul,0.94,6.75,5.0,No,App crashes on checkout
TKT-5289,2024-09-15 01:00,Login Issue,medium,chat,Ananya,1.62,6.06,3.0,No,Invoice shows wrong GST number
TKT-5921,2024-11-07 23:00,BILLING,medium,email,Meera,2.14,5.55,5.0,No,Request to merge duplicate accounts
TKT-5571,2024-08-14 20:00,Shipping,medium,portal,Meera,1.65,5.85,3.0,No,Unable to apply coupon code
TKT-5243,2024-12-20 03:00,bug,high,chat,Meera,0.73,2.6,5.0,No,Invoice shows wrong GST number
TKT-5709,2024-09-10 23:00,bug,urgent,chat,Vikram,0.39,1.3,4.0,Yes,Invoice shows wrong GST number
TKT-5670,2025-06-03 02:00,Shipping,low,email,Meera,1.68,13.54,5.0,No,Request to merge duplicate accounts
TKT-5455,2024-10-29 13:00,shipping,urgent,email,Ananya,0.13,0.6,4.0,No,Unable to apply coupon code
TKT-5922,2024-08-31 08:00,bug,high,email,Ananya,0.57,1.58,5.0,No,App crashes on checkout
TKT-5941,2024-08-08 04:00,BILLING,high,email,Rahul,1.39,7.67,4.0,No,Wants dark mode in the mobile app
TKT-5916,2024-10-22 22:00,login issue,high,phone,Vikram,1.75,5.34,4.0,No,Unable to apply coupon code
TKT-5820,2024-01-14 01:00,Billing,low,phone,Rahul,1.25,5.95,4.0,No,Invoice shows wrong GST number
TKT-5857,2024-02-01 04:00,shipping,low,chat,Vikram,2.29,6.54,4.0,Yes,Unable to apply coupon code
TKT-5041,2025-02-17 03:00,Bug,low,phone,Sara,5.2,768.12,3.0,Yes,App crashes on checkout
TKT-6366,2024-06-13 11:00,shipping,medium,chat,Meera,4.64,12.45,4.0,No,Customer cannot reset password
TKT-5477,2024-01-10 17:00,billing,medium,email,Rahul,3.47,10.04,4.0,No,App crashes on checkout
TKT-5073,2024-03-11 19:00,login issue,medium,email,Meera,0.95,2.92,3.0,No,Customer cannot reset password
TKT-5151,2024-06-02 08:00,BILLING,medium,chat,Rahul,3.32,14.03,4.0,No,Invoice shows wrong GST number
TKT-6002,2024-10-31 06:00,Billing,medium,portal,,1.08,8.41,4.0,No,Unable to apply coupon code
TKT-6516,2024-09-20 00:00,Billing,medium,email,Rahul,2.43,7.09,5.0,No,Invoice shows wrong GST number
TKT-5726,2025-01-28 01:00,login issue,medium,portal,Sara,0.18,3.15,4.0,No,Wants dark mode in the mobile app
TKT-5489,2024-11-26 06:00,feature request,low,chat,Vikram,3.42,10.62,4.0,No,Unable to apply coupon code
TKT-5319,2025-02-22 21:00,shipping,medium,chat,Rahul,0.96,5.38,4.0,No,Invoice shows wrong GST number
TKT-6587,2024-02-12 13:00,billing,medium,email,Rahul,4.3,19.99,4.0,No,Delivery delayed by courier
TKT-5148,2025-03-23 19:00,shipping,low,chat,Imran,3.2,8.61,4.0,No,Delivery delayed by courier
TKT-5344,2025-05-08 12:00,Login Issue,medium,phone,Ananya,0.82,7.74,4.0,No,Unable to apply coupon code
TKT-6025,2024-01-31 06:00,billing,medium,chat,Imran,0.96,10.99,5.0,No,App crashes on checkout
TKT-6070,2025-01-02 20:00,login issue,medium,email,Rahul,2.36,6.34,4.0,No,App crashes on checkout
TKT-6043,2024-07-21 21:00,Shipping,medium,chat,,2.12,7.58,4.0,Yes,Unable to apply coupon code
TKT-5480,2024-06-05 22:00,login issue,low,chat,Ananya,2.4,8.73,4.0,Yes,Request to merge duplicate accounts
TKT-5454,2024-11-21 07:00,Billing,high,chat,Ananya,0.43,3.87,5.0,No,Wants dark mode in the mobile app
TKT-5537,2024-03-03 22:00,Feature Request,low,portal,Ananya,3.34,11.3,4.0,No,Unable to apply coupon code
TKT-5788,2024-10-23 18:00,login issue,low,email,Imran,0.4,5.39,5.0,Yes,App crashes on checkout
TKT-6298,2024-10-16 04:00,Billing,low,email,Vikram,3.18,8.32,3.0,No,Wants dark mode in the mobile app
TKT-5898,2024-02-08 06:00,Shipping,medium,portal,Rahul,1.53,11.08,5.0,No,Delivery delayed by courier
TKT-5937,2024-03-21 21:00,Billing,high,phone,Meera,0.14,1.05,4.0,No,Delivery delayed by courier
TKT-5526,2025-05-18 05:00,login issue,medium,phone,Rahul,1.23,7.77,4.0,No,Request to merge duplicate accounts
TKT-6211,2025-03-02 04:00,login issue,low,email,Rahul,0.45,8.23,,No,Request to merge duplicate accounts
TKT-5911,2024-04-10 00:00,login issue,urgent,chat,Ananya,0.92,4.01,5.0,No,Delivery delayed by courier
TKT-6125,2025-04-04 18:00,billing,medium,email,Rahul,2.21,7.66,4.0,No,Request to merge duplicate accounts
TKT-5177,2024-03-28 21:00,Login Issue,high,portal,Meera,0.51,5.58,3.0,No,Request to merge duplicate accounts
TKT-6502,2024-05-04 19:00,Login Issue,high,email,Meera,1.01,2.93,5.0,No,App crashes on checkout
TKT-6459,2024-10-08 06:00,Login Issue,low,email,Rahul,2.25,10.01,,Yes,Refund not received after 14 days
TKT-6266,2024-01-31 00:00,feature request,low,email,Meera,3.28,11.65,3.0,No,Unable to apply coupon code
TKT-5997,2024-07-15 13:00,login issue,low,chat,Rahul,7.56,20.53,4.0,Yes,Delivery delayed by courier
TKT-5346,2025-06-24 07:00,bug,low,portal,Ananya,5.13,12.85,3.0,No,Request to merge duplicate accounts
TKT-6041,2025-04-11 19:00,feature request,low,email,Sara,0.7,10.78,4.0,No,Invoice shows wrong GST number
TKT-6163,2024-10-16 14:00,Billing,low,chat,Vikram,4.24,23.67,4.0,No,App crashes on checkout
TKT-5128,2024-11-09 03:00,Feature Request,high,portal,Imran,1.36,4.9,4.0,No,App crashes on checkout
TKT-5701,2024-12-01 19:00,Shipping,low,chat,Meera,1.81,7.54,4.0,No,Wants dark mode in the mobile app
TKT-5823,2024-12-20 07:00,billing,medium,phone,Sara,0.88,8.24,4.0,No,Delivery delayed by courier
TKT-6205,2025-05-07 07:00,shipping,low,email,Sara,2.49,6.22,4.0,No,Request to merge duplicate accounts
TKT-6305,2025-01-01 00:00,bug,low,chat,Sara,1.44,5.88,4.0,No,Delivery delayed by courier
TKT-5505,2024-09-04 08:00,shipping,medium,chat,Imran,2.33,8.32,5.0,No,Unable to apply coupon code
TKT-5689,2025-03-02 12:00,Login Issue,high,phone,Imran,1.24,7.89,4.0,No,Unable to apply coupon code
TKT-5556,2025-02-05 03:00,feature request,low,portal,Meera,2.05,8.9,5.0,No,Unable to apply coupon code
TKT-5331,2024-07-21 03:00,feature request,low,portal,Rahul,1.65,10.05,3.0,No,Unable to apply coupon code
TKT-5194,2025-06-07 00:00,shipping,low,email,Sara,1.61,7.34,4.0,No,Wants dark mode in the mobile app
TKT-5873,2024-03-09 02:00,Billing,high,chat,Meera,0.66,1.69,3.0,No,Unable to apply coupon code
TKT-5536,2024-09-05 08:00,Billing,low,phone,Imran,1.58,11.16,,No,App crashes on checkout
TKT-5086,2024-02-22 23:00,Login Issue,high,chat,Ananya,0.68,4.77,5.0,No,Unable to apply coupon code
TKT-5954,2025-03-04 03:00,login issue,medium,email,Ananya,0.55,4.29,4.0,No,Unable to apply coupon code
TKT-5535,2024-03-24 17:00,shipping,medium,email,Rahul,1.46,4.61,4.0,No,App crashes on checkout
TKT-6142,2025-05-22 14:00,Login Issue,high,email,Ananya,0.52,6.33,4.0,No,Request to merge duplicate accounts
TKT-5893,2025-06-18 05:00,bug,medium,email,Ananya,0.91,4.15,4.0,No,App crashes on checkout
TKT-5662,2024-01-20 03:00,Billing,low,chat,Ananya,1.49,3.9,5.0,No,Wants dark mode in the mobile app
TKT-5482,2024-05-16 12:00,Login Issue,medium,portal,Meera,0.99,4.02,5.0,No,Unable to apply coupon code
TKT-5216,2024-02-13 04:00,bug,low,phone,Rahul,0.56,7.67,3.0,No,Refund not received after 14 days
TKT-5427,2025-03-14 05:00,Login Issue,low,email,Ananya,0.59,2.49,4.0,No,Refund not received after 14 days
TKT-5104,2025-03-10 06:00,Shipping,low,portal,Meera,2.24,5.79,5.0,No,Invoice shows wrong GST number
TKT-5577,2024-10-12 10:00,shipping,high,email,Rahul,0.89,4.03,4.0,No,Refund not received after 14 days
TKT-5544,2025-03-28 21:00,Shipping,low,chat,Vikram,4.05,10.42,2.0,No,Unable to apply coupon code
TKT-5920,2025-04-20 14:00,billing,low,chat,Imran,0.97,10.05,4.0,No,Wants dark mode in the mobile app
TKT-6570,2024-02-13 07:00,Login Issue,urgent,email,Meera,0.65,1.97,3.0,No,Delivery delayed by courier
TKT-6170,2024-12-08 19:00,login issue,high,phone,Rahul,0.56,2.57,4.0,No,Delivery delayed by courier
TKT-6523,2024-03-22 23:00,billing,urgent,phone,Sara,0.42,1.69,4.0,No,Invoice shows wrong GST number
TKT-5869,2024-01-22 21:00,shipping,low,chat,Sara,0.75,7.27,4.0,No,Request to merge duplicate accounts
TKT-5147,2024-05-07 11:00,shipping,low,phone,Imran,0.51,8.32,4.0,Yes,Delivery delayed by courier
TKT-6390,2024-06-15 18:00,billing,low,chat,Ananya,1.6,5.44,4.0,No,App crashes on checkout
TKT-6167,2024-08-05 05:00,shipping,medium,phone,Meera,1.32,8.35,3.0,No,Refund not received after 14 days
TKT-5497,2024-07-22 22:00,Billing,low,chat,Meera,0.49,2.11,4.0,No,Customer cannot reset password
TKT-6095,2024-02-13 15:00,Billing,high,chat,Rahul,0.14,1.66,4.0,No,Wants dark mode in the mobile app
TKT-6218,2025-03-17 00:00,Feature Request,low,email,Ananya,1.04,5.2,4.0,No,Delivery delayed by courier
TKT-5519,2024-11-19 23:00,shipping,high,email,Ananya,0.82,2.8,3.0,No,Wants dark mode in the mobile app
TKT-5189,2024-06-13 07:00,Bug,medium,chat,Meera,1.98,6.62,4.0,Yes,Wants dark mode in the mobile app
TKT-5044,2024-02-07 00:00,billing,medium,chat,Vikram,0.58,1.82,4.0,No,Request to merge duplicate accounts
TKT-6288,2024-02-25 12:00,bug,medium,email,Vikram,1.54,6.42,4.0,No,Refund not received after 14 days
TKT-5202,2024-09-26 19:00,Billing,medium,email,Sara,2.37,6.39,5.0,No,Invoice shows wrong GST number
TKT-5631,2024-06-27 11:00,Feature Request,low,chat,Meera,4.55,12.75,5.0,No,Invoice shows wrong GST number
TKT-6434,2024-06-23 02:00,bug,low,phone,Ananya,0.89,6.59,,No,Wants dark mode in the mobile app
TKT-5989,2025-03-05 03:00,billing,low,email,Meera,1.85,9.76,4.0,No,Unable to apply coupon code
TKT-6195,2024-12-11 09:00,Bug,urgent,portal,Meera,0.44,3.49,5.0,No,Delivery delayed by courier
TKT-5353,2024-08-25 03:00,Billing,low,email,Ananya,0.95,5.01,,No,Invoice shows wrong GST number
TKT-5066,2025-05-08 12:00,shipping,high,email,Rahul,0.31,3.42,5.0,No,Wants dark mode in the mobile app
TKT-6456,2025-06-20 14:00,shipping,high,email,Sara,0.41,3.56,2.0,No,Delivery delayed by courier
TKT-6405,2024-03-25 17:00,Feature Request,low,phone,Meera,7.51,23.22,4.0,No,Invoice shows wrong GST number
TKT-6590,2025-02-05 01:00,Feature Request,urgent,chat,Meera,0.54,1.79,4.0,No,App crashes on checkout
TKT-5996,2024-10-13 21:00,feature request,low,email,Rahul,0.39,5.88,4.0,No,Request to merge duplicate accounts
TKT-5384,2024-01-18 09:00,Billing,low,portal,Vikram,0.58,6.53,4.0,No,Customer cannot reset password
TKT-5046,2024-08-30 21:00,Login Issue,low,email,,1.77,11.28,5.0,No,Delivery delayed by courier
TKT-6294,2025-06-02 16:00,shipping,high,portal,Ananya,0.09,0.92,3.0,No,App crashes on checkout
TKT-5810,2024-01-25 01:00,login issue,medium,chat,Ananya,1.25,8.13,5.0,No,Customer cannot reset password
TKT-5720,2024-03-16 19:00,login issue,low,chat,Rahul,1.17,11.46,4.0,No,Delivery delayed by courier
TKT-5864,2025-04-06 03:00,shipping,low,phone,Meera,0.3,4.2,4.0,No,Request to merge duplicate accounts
TKT-6485,2025-04-15 04:00,billing,low,portal,Vikram,2.64,8.82,5.0,No,Wants dark mode in the mobile app
TKT-5083,2025-03-29 19:00,Login Issue,low,email,Meera,3.03,11.33,4.0,No,Refund not received after 14 days
TKT-6495,2024-08-23 01:00,billing,medium,email,Rahul,0.8,6.33,3.0,No,Delivery delayed by courier
TKT-5967,2024-06-21 18:00,billing,medium,email,Meera,0.36,6.48,3.0,No,App crashes on checkout
TKT-6595,2024-03-31 04:00,Shipping,low,chat,Imran,2.47,9.29,5.0,No,Invoice shows wrong GST number
TKT-5905,2025-01-21 17:00,Shipping,low,chat,Ananya,0.24,3.07,4.0,No,App crashes on checkout
TKT-5951,2024-06-15 01:00,Billing,low,phone,Rahul,2.43,21.45,5.0,No,Unable to apply coupon code
TKT-5551,2024-08-02 12:00,Bug,high,phone,Vikram,0.74,3.47,3.0,No,Refund not received after 14 days
TKT-5776,2024-08-18 23:00,Bug,high,chat,Rahul,0.83,2.17,5.0,No,Request to merge duplicate accounts
TKT-6537,2024-03-01 07:00,login issue,medium,chat,Rahul,3.42,10.45,4.0,No,Refund not received after 14 days
TKT-6579,2024-11-23 09:00,bug,medium,phone,Rahul,1.22,4.42,4.0,No,Wants dark mode in the mobile app
TKT-5795,2024-06-09 23:00,bug,medium,email,Vikram,2.52,7.76,4.0,No,Delivery delayed by courier
TKT-5464,2024-01-04 13:00,Feature Request,medium,email,Rahul,0.8,10.19,5.0,No,Invoice shows wrong GST number
TKT-6219,2024-08-27 20:00,login issue,urgent,email,Imran,1.06,2.74,3.0,No,Refund not received after 14 days
TKT-5067,2024-07-20 21:00,Bug,medium,phone,Imran,0.45,3.37,5.0,No,Wants dark mode in the mobile app
TKT-5910,2025-02-23 18:00,Bug,urgent,email,Sara,0.41,1.47,5.0,No,Wants dark mode in the mobile app
TKT-5025,2024-12-16 21:00,billing,high,portal,Vikram,0.98,4.07,4.0,No,Refund not received after 14 days
TKT-6562,2024-05-15 10:00,Login Issue,medium,email,Meera,4.44,11.79,3.0,No,Customer cannot reset password
TKT-6204,2024-12-20 17:00,billing,urgent,email,Sara,0.09,1.04,,No,Invoice shows wrong GST number
TKT-6101,2024-09-12 18:00,billing,medium,email,Vikram,0.97,12.68,5.0,No,Invoice shows wrong GST number
TKT-5245,2024-02-16 00:00,login issue,high,email,Sara,3.02,9.75,5.0,No,App crashes on checkout
TKT-5221,2024-09-05 09:00,bug,urgent,email,Sara,0.1,1.19,5.0,No,Refund not received after 14 days
TKT-5785,2024-11-16 14:00,Shipping,low,portal,Sara,0.65,9.58,5.0,No,Refund not received after 14 days
TKT-6164,2024-10-08 18:00,bug,urgent,phone,Rahul,0.12,1.22,5.0,No,Customer cannot reset password
TKT-5184,2024-09-27 02:00,Billing,low,portal,Rahul,2.12,13.71,4.0,No,Invoice shows wrong GST number
TKT-5253,2024-06-28 18:00,Billing,high,chat,Rahul,1.05,11.49,5.0,No,Refund not received after 14 days
TKT-6517,2024-01-27 11:00,Bug,medium,email,Vikram,2.31,9.61,4.0,No,Customer cannot reset password
TKT-5825,2024-02-19 06:00,bug,high,chat,,0.54,1.54,3.0,No,App crashes on checkout
TKT-5225,2024-06-15 17:00,login issue,medium,portal,Ananya,3.39,9.88,5.0,No,App crashes on checkout
TKT-5572,2024-06-02 20:00,Login Issue,low,email,Rahul,1.24,4.4,4.0,No,Unable to apply coupon code
TKT-6408,2024-01-01 20:00,Billing,urgent,email,Ananya,0.28,2.48,3.0,No,Unable to apply coupon code
TKT-6511,2024-05-04 09:00,billing,medium,chat,Meera,2.03,6.34,4.0,No,Request to merge duplicate accounts
TKT-6479,2024-08-15 01:00,bug,medium,portal,Imran,1.17,3.96,4.0,No,Invoice shows wrong GST number
TKT-5695,2024-05-18 02:00,bug,low,phone,Sara,0.68,8.49,5.0,No,App crashes on checkout
TKT-6134,2024-11-30 12:00,bug,high,portal,Ananya,0.52,1.34,3.0,No,App crashes on checkout
TKT-5610,2025-03-30 08:00,Bug,low,portal,Ananya,0.77,6.91,3.0,No,Wants dark mode in the mobile app
TKT-6220,2024-12-20 01:00,bug,medium,email,Vikram,4.0,13.48,3.0,No,Request to merge duplicate accounts
TKT-5388,2025-05-01 02:00,Billing,urgent,phone,Imran,0.53,1.33,4.0,No,Refund not received after 14 days
TKT-5386,2024-02-06 20:00,Login Issue,medium,email,Ananya,2.13,6.85,4.0,No,Refund not received after 14 days
TKT-5259,2024-11-16 06:00,bug,low,email,Rahul,4.19,17.89,,No,App crashes on checkout
TKT-5316,2025-02-02 00:00,Billing,medium,portal,Sara,1.02,3.4,4.0,No,Refund not received after 14 days
TKT-5181,2024-03-24 00:00,Bug,high,email,Imran,0.54,2.62,5.0,No,Refund not received after 14 days
TKT-5605,2024-10-19 03:00,login issue,high,email,Vikram,1.01,3.15,4.0,No,Unable to apply coupon code
TKT-6325,2024-04-12 05:00,login issue,high,email,Ananya,0.38,2.2,4.0,Yes,Refund not received after 14 days
TKT-5550,2025-03-13 16:00,Bug,low,email,Sara,1.27,11.55,3.0,No,Delivery delayed by courier
TKT-5092,2025-04-03 17:00,BILLING,low,portal,Meera,2.63,8.45,5.0,Yes,Refund not received after 14 days
TKT-6351,2024-08-01 20:00,billing,medium,phone,Imran,1.94,5.47,,No,App crashes on checkout
TKT-6256,2024-04-30 22:00,Shipping,low,chat,Rahul,3.75,11.26,5.0,No,App crashes on checkout
TKT-6308,2024-08-14 04:00,login issue,medium,email,Imran,5.95,20.63,,No,Unable to apply coupon code
TKT-5959,2024-08-12 10:00,shipping,medium,phone,Rahul,0.76,6.02,3.0,No,Request to merge duplicate accounts
TKT-6032,2025-02-02 06:00,Login Issue,urgent,email,Sara,0.53,2.34,4.0,Yes,Refund not received after 14 days
TKT-5584,2024-08-08 05:00,Shipping,low,phone,Ananya,1.83,4.74,5.0,Yes,Wants dark mode in the mobile app
TKT-6463,2024-01-28 18:00,billing,low,phone,Ananya,2.92,8.44,3.0,Yes,Invoice shows wrong GST number
TKT-6503,2024-06-24 18:00,Login Issue,medium,chat,Ananya,1.43,5.83,5.0,Yes,Refund not received after 14 days
TKT-5317,2025-01-31 05:00,Bug,urgent,portal,Sara,0.15,1.12,5.0,No,Wants dark mode in the mobile app
TKT-6230,2025-03-23 16:00,billing,low,portal,Meera,7.22,18.52,4.0,No,Refund not received after 14 days
TKT-5576,2025-05-19 13:00,bug,medium,portal,Vikram,2.63,9.98,3.0,No,Unable to apply coupon code
TKT-5294,2024-10-24 00:00,Feature Request,high,portal,Ananya,0.55,3.19,4.0,No,Unable to apply coupon code
TKT-5928,2024-08-16 00:00,billing,medium,phone,Meera,3.46,14.82,4.0,No,Refund not received after 14 days
TKT-5903,2025-04-26 20:00,bug,urgent,portal,Sara,0.88,2.22,4.0,No,Wants dark mode in the mobile app
TKT-5060,2025-05-17 18:00,bug,high,portal,Rahul,0.36,5.67,4.0,Yes,Delivery delayed by courier
TKT-5606,2024-06-25 01:00,Shipping,medium,portal,Rahul,1.24,5.08,4.0,No,Customer cannot reset password
TKT-5250,2024-04-07 19:00,bug,urgent,chat,Imran,0.47,2.83,4.0,No,Wants dark mode in the mobile app
TKT-5691,2025-03-09 08:00,Bug,high,email,Imran,0.87,2.35,4.0,No,Request to merge duplicate accounts
TKT-6484,2024-08-14 01:00,Billing,urgent,portal,Vikram,0.39,0.98,5.0,Yes,Customer cannot reset password
TKT-5277,2025-03-02 14:00,Login Issue,high,portal,Ananya,0.46,3.83,5.0,No,Customer cannot reset password
TKT-5597,2025-02-28 19:00,shipping,low,email,Ananya,1.34,13.58,5.0,No,App crashes on checkout
TKT-5038,2024-05-30 20:00,Login Issue,medium,chat,Ananya,0.79,4.11,4.0,No,Invoice shows wrong GST number
TKT-5674,2024-12-04 22:00,feature request,high,phone,Ananya,0.82,6.7,,No,Unable to apply coupon code
TKT-5943,2024-09-15 10:00,Shipping,low,portal,Meera,2.46,8.14,3.0,No,Unable to apply coupon code
TKT-5077,2024-05-03 15:00,login issue,low,chat,Meera,3.42,17.79,4.0,Yes,Customer cannot reset password
